ID x y V BV pmRA pmDE
103 1220.98 1062.79 20.84 1.46 -3.895615865093748 -2.8590483966442233
1014 1200.78 938.09 20.87 1.48 -4.666313397546803 -3.088755472732151
1015 978.93 930.42 20.46 1.54 -4.506668094747465 -2.637435833630871
1019 1020.1 892.88 20.67 1.19 -4.5189089678453565 -3.299338552987539
1020 1032.26 1056.5 20.52 1.54 -4.239776561295984 -2.877831835817701
1023 1035.62 1185.69 20.44 1.26 -4.071928360128954 -3.1930895200942513
126 1010.2 1128.07 20.7 1.3 -4.2021310932148035 -3.0183573082718813
1027 1163.97 987.42 19.93 1.44 -4.275916486226187 -3.443600161886824
128 1027.74 946.58 20.44 0.94 -4.964618626950729 -3.6297353905790546
130 1173.27 1067.02 20.62 1.24 -4.671928060003696 -2.8971695213789546
131 1028.57 1031.59 20.27 1.2 -4.396271726079241 -3.072876519543503
1032 1245.55 941.49 20.14 1.35 -4.489857234522123 -3.167070735080517
133 1133.75 962.17 20.1 1.47 -3.786936541624758 -2.6266029364479877
134 960.92 1041.32 20.08 0.96 -4.294484473580113 -3.2902719844634927
135 1128.66 878.1 20.18 0.99 -4.053953216472935 -2.548793917400511
1036 1027.97 987.72 19.65 1.23 -3.7510508581566744 -2.8830398313103216
137 897.19 1051.49 19.74 0.88 -4.310006096833654 -2.992218714689994
138 977.53 1030.88 19.83 0.93 -4.006128782916016 -3.729367009900708
139 1042.25 975.57 19.77 1.1 -3.9913958269082657 -2.9942812153645986
1040 1004.32 1005.37 19.38 1.24 -4.535957443041109 -3.3156953186165485
1041 1015.96 1016.64 19.33 1.13 -4.22825322018301 -2.7572476787365248
142 1005.3 1024.16 19.84 1.08 -3.874767690652441 -3.553528430766214
1043 1087.91 989.6 18.99 0.94 -4.487806974604719 -2.767595031099916
1044 1076.64 1177.58 19.03 1.23 -4.425069484114412 -2.9133212285812293
145 947.97 1036.98 19.39 1.23 -4.711011011555472 -2.859708849758246
146 883.91 995.04 19.18 1.05 -4.258803482052464 -2.9198166831387855
1047 1001.27 1066.0 19.09 1.19 -4.164192572163896 -2.9372782545376777
1048 1028.95 1181.76 18.99 1.01 -4.75559912050945 -3.065724450310793
149 1057.88 1025.47 19.26 1.07 -3.75503696341928 -3.0904203122188942
1050 1086.7 982.56 18.75 1.13 -4.465202506533475 -2.9650930481826365
1051 1018.38 1049.34 18.5 1.08 -4.2871236879109365 -3.3641198305960907
152 1109.73 997.41 19.06 1.04 -4.03149400815753 -3.5027392506740225
153 1051.99 1096.73 19.04 0.97 -3.811160393304051 -2.3472645524068394
